版本,严重程度,问题标题,漏洞描述,解决方案,Git Commit/PR
2026.3.24,低危,基础安全架构建立,早期稳定版本建立基础安全架构和安全模型框架,建立基础安全架构和受信任操作员安全模型框架,N/A
2026.3.28,中危,基础SSRF防护框架,早期版本缺乏系统性的SSRF防护机制,"引入DNS固定的调度器;实施私有IP地址检查;建立URL验证框架",N/A
2026.3.28,中危,媒体服务器路径遍历漏洞,媒体服务器未正确验证文件路径可能允许访问预期目录之外的文件,"实施严格的路径验证;阻止路径遍历攻击",b94b220156
2026.3.28,中危,iMessage SCP远程路径shell元字符注入,iMessage的SCP远程路径未正确清理可能允许shell元字符注入,"清理SCP远程路径;防止shell元字符注入",a54bf71b4c
2026.3.28,中危,未引用heredoc主体中的命令替换,未引用的heredoc主体可能执行命令替换,"阻止未引用heredoc主体中的命令替换;在heredoc中使用引号包裹防止命令替换","92cada2aca a54bba6ee0"
2026.3.28,中危,安全审计扩展,Web搜索凭证审计扩展以识别Gemini、Grok/xAI、Kimi、Moonshot和OpenRouter凭证,通过边界安全的捆绑Web搜索注册表填充程序扩展Web搜索密钥审计,#56540
2026.3.31,高危,Skills/Plugins安装危险代码默认行为变更,之前版本中危险代码检测和安装时扫描失败默认允许安装攻击者可通过恶意插件安装后门代码,"内置危险代码critical发现和安装时扫描失败现在默认失败关闭;插件安装和网关支持的技能依赖安装现在可能需要显式的危险覆盖才能继续",#57777 #57691
2026.3.31,高危,Gateway/auth trusted-proxy认证绕过,"trusted-proxy模式接受混合共享令牌配置本地直连回退隐式认证同主机调用者","trusted-proxy现在拒绝混合共享令牌配置;本地直连回退需要配置的令牌而不是隐式认证同主机调用者",Thanks @zhangning-agent @jacobtomlinson
2026.3.31,高危,Gateway/node commands节点命令未授权暴露,设备配对足以暴露声明的节点命令即使未经节点配对批准,"节点命令现在保持禁用状态直到节点配对被批准;设备配对本身不再足以暴露声明的节点命令",#57777
2026.3.31,高危,Gateway/node events节点事件信任边界,节点发起的运行依赖更广泛的主机/会话工具访问可能超越预期权限边界,"节点发起的运行现在保持在减少的受信任表面上;依赖更广泛主机/会话工具访问的通知驱动或节点触发流可能需要调整",#57691
