版本,严重程度,问题标题,漏洞描述,引用编号
v3.28,中危,基础 SSRF 防护框架,早期版本缺乏系统性的 SSRF 防护机制,2026.3.28
v3.28,高危,媒体服务器路径遍历漏洞,媒体服务器未正确验证文件路径 可能允许访问预期目录之外的文件,b94b220156
v3.28,高危,iMessage SCP 远程路径 shell 元字符注入,iMessage 的 SCP 远程路径未正确清理 可能允许 shell 元字符注入,a54bf71b4c
v3.28,高危,未引用 heredoc 主体中的命令替换,未引用的 heredoc 主体可能执行命令替换,92cada2aca
v3.31,高危,Skills/Plugins 安装危险代码默认行为变更,之前版本中危险代码检测和安装时扫描失败默认允许安装 攻击者可通过恶意插件安装后门代码,#57777 #57691
v3.31,高危,Gateway/auth trusted-proxy 认证绕过,trusted-proxy 模式接受混合共享令牌配置 本地直连回退隐式认证同主机调用者,v3.31
v3.31,高危,Gateway/node commands 节点命令未授权暴露,设备配对足以暴露声明的节点命令 即使未经节点配对批准,#57777
v3.31,高危,Gateway/node events 节点事件信任边界,节点发起的运行依赖更广泛的主机/会话工具访问 可能超越预期权限边界,#57691
v3.31,中危,Nostr inbound DMs 签名验证缺失,入站 DM 事件在配对或发送者授权副作用之前未验证签名 伪造的 DM 事件可创建配对请求或触发回复尝试,v3.31
v3.31,中危,ACP/security 危险工具自动审批,ACP 的危险工具名称覆盖允许非执行能力的工具自动审批 可能绕过安全检查,v3.31
v3.31,中危,Gateway/device tokens 活跃会话未断开,令牌轮换后活跃的设备会话继续连接 旧凭证仍然有效,v3.31
v3.31,中危,Gateway/auth 浏览器 Origin 头验证,受信任代理 HTTP 操作员请求上未拒绝不匹配的浏览器 Origin 头,v3.31
v3.31,中危,Gateway/auth 共享认证速率限制绕过,当调用者同时发送设备令牌候选时 共享认证速率限制被抑制 伪造的设备令牌字段可抑制共享密钥暴力跟踪,v3.31
v3.31,中危,Exec/env 代理和 TLS 环境变量覆盖,请求作用域的命令可通过环境变量静默重定向出站流量或信任攻击者提供的证书设置,v3.31
v3.31,中危,Host exec/env 编译器和包路径覆盖,请求作用域的环境变量覆盖可重定向 Docker 端点 信任根 编译器包含路径 包解析或 Python 环境根,v3.31
v3.31,中危,Heartbeat/auth 非所有者工具访问继承,执行事件心跳运行从会话传递目标继承所有者专用工具访问 即使目标会话属于所有者,v3.31
v3.31,中危,Feishu/groups 引用回复和主题引导上下文,引用回复和主题引导上下文未与组发送者允许列表对齐 非允许列表的线程消息可种子代理上下文,v3.31
v3.31,中危,Hooks/session routing 钩子会话路由,钩子触发的 agent: 会话键未重新绑定到实际目标代理 专用钩子代理丢失会话作用域的工具和插件身份,v3.31
v3.31,中危,Discord/voice 语音入口访问控制,已加入的语音频道在转录前未执行相同的公会频道和成员允许列表检查 配置的 Discord 访问策略之外的用户可提交语音,v3.31
v3.31,中危,Gateway/tools HTTP 工具调用授权,HTTP 工具调用授权松散 所有者专用工具在 HTTP 调用路径上可用,#57773
v4.1,高危,Device pairing 配对授权绕过,低权限网关调用者可铸造或撤销配对引导材料 内部 /pair 设置代码 QR 和清理命令缺乏权限检查,#60491
v4.1,中危,Chat/error replies 敏感信息泄露,原始提供者/运行时失败泄露到外部聊天频道 可能暴露内部配置或路径信息,#58831
v4.1,中危,Agents/failover 提供者错误分类,提供者特定的 400/422 载荷被强制转换为通用格式失败 重试 计费或压缩逻辑无法检查它们,#58856
v4.1,中危,Auth profiles/store SecretRef 处理,升级后错误放置的 SecretRef 对象在存储加载期间未从明文 key 和 token 字段中强制移除 导致代理崩溃,#58923
v4.1,中危,Auth/OpenAI Codex OAuth 凭证持久化,插件刷新的 OAuth 凭证在返回前未持久化到 auth-profiles.json 轮换的 Codex 刷新令牌在重启后丢失并陷入 refresh_token_reused 循环,#53082
v4.2,高危,Sandbox/security 凭证路径绑定绕过,即使沙箱主路径通过规范别名解析 代理容器仍可通过备用主目录路径挂载用户秘密存储,#59157
v4.2,高危,Exec/env 环境变量覆盖扩展,额外的请求作用域环境变量覆盖可重定向包根 语言运行时 编译器包含路径和凭证/配置位置,#59233
v4.2,高危,Dotenv/workspace overrides 受信任解释器重定向,工作区 .env 文件可覆盖 OPENCLAW_PINNED_PYTHON 和 OPENCLAW_PINNED_WRITE_PYTHON 可信助手解释器可被仓库本地环境注入重定向,#58473
v4.2,中危,Channels/setup 非信任工作区通道插件,非信任的工作区通道插件在设置解析期间可覆盖内置通道设置/登录流,#59158
v4.2,中危,Webhooks/secret comparison 时序攻击,BlueBubbles 飞书 Mattermost Telegram Twilio 和 Zalo webhook 处理程序中的时序安全秘密比较不一致 且 BlueBubbles 接受空认证令牌,#58432
v4.2,中危,OpenShell/mirror 远程工作区约束,remoteWorkspaceDir 和 remoteAgentWorkspaceDir 未约束到管理的 /sandbox 和 /agent 根 镜像同步在配置同步期间可覆盖或移除用户添加的 shell 根,#58515
v4.2,中危,Browser/CDP 跨主机枢轴,初始和发现的 CDP websocket 端点在连接前未验证 严格 SSRF 策略未能阻止跨主机枢轴和直接 websocket 目标,#60469
